series_name,count
Model Y,54937
轩逸,35396
秦PLUS DM,32071
秦PLUS DM,31734
秦PLUS DM,31310
Model Y,31054
五菱宏光MINIEV,30267
海豚,29961
宋PLUS DM,29931
海豚,29081
