series_name,count
沃尔沃S60,8560
沃尔沃S60 PHEV,157
沃尔沃S90,13189
沃尔沃S90 PHEV,1420
沃尔沃XC40,4480
沃尔沃XC40 EV,1546
沃尔沃XC60,21471
沃尔沃XC60 PHEV,2132
海豚,126993
海豹,33958
海马7X,3461
海马7X-E,285
海马8S,3534
海鸥,8427
深蓝S07,3
深蓝SL03,31869
炫界,5435
炫界Pro EV,432
焕驰,507
熊猫,41702
狮铂拓界,2367
现代ix35,20180
理想L7,29307
理想L8,35006
理想L9,34060
瑞虎3x,8131
瑞虎5x,11675
瑞虎7,17838
瑞虎8,36381
瑞风E3,259
瑞风M3,7707
皇冠陆放,18604
皓影,32662
皓影 PHEV,2555
皓极,11155
睿蓝9,563
睿蓝X3 PRO,2777
福特电马,1998
科鲁泽,43053
秦EV,13762
秦PLUS DM,119202
秦PLUS EV,42875
索纳塔,1388
红旗E-HS9,2951
红旗E-QM5,21634
红旗H5,24524
红旗H6,1356
红旗H9,6050
红旗HQ9,4335
红旗HS5,42883
红旗HS7,3473
红旗国耀,93
纳米BOX,10507
绎乐,36
缤智,12288
缤瑞,12305
缤越,35894
羿,1137
胜达,6510
腾势D9 DM,42298
腾势D9 EV,3236
航海家,3997
艾力绅,16175
艾瑞泽5,17011
艾瑞泽8,18393
艾瑞泽e,2305
英仕派,24909
英菲尼迪Q50L,2279
英菲尼迪QX50,575
英菲尼迪QX60,334
荣威Ei5,3177
荣威RX5,20259
荣威RX9,909
荣威eRX5,1409
荣威i5,23932
荣威iMAX8,2565
荣威iMAX8 EV,1249
菱智,10529
菱智M5 EV,1984
菲斯塔,1926
蒙迪欧,16762
蓝山,6186
蓝电E5,1109
蓝鸟,1011
蔚来EC6,1875
蔚来EC7,769
蔚来ES6,5763
蔚来ES7,4500
蔚来ES8,1632
蔚来ET5,26220
蔚来ET7,3095
豪越L,4178
赛图斯,352
赛那,31854
起亚K3,2953
起亚K5,1546
轩度,9474
轩逸,135150
迈腾,57538
迈腾GTE,7497
迈锐宝XL,6500
远志M1,1435
逍客,38348
途安L,403
途岳,35734
途昂,16828
途睿欧,443
途胜,17819
途观L,48408
途观L PHEV,2115
